[0.8720632195472717, -0.48939329385757446, 0.9742958545684814, 0.22527222335338593, -0.5429463386535645, 1.4206360578536987];[0.8590018153190613, -0.5119724869728088, 0.9214184880256653, 0.38857170939445496, 0.28899839520454407, 0.2734496593475342];0
[0.8590018153190613, -0.5119724869728088, 0.9214184880256653, 0.38857170939445496, 0.28899839520454407, 0.2734496593475342];[0.9212534427642822, -0.38896289467811584, 0.9443084597587585, 0.3290616571903229, 1.064326286315918, -0.8897475600242615];0
[0.9212534427642822, -0.38896289467811584, 0.9443084597587585, 0.3290616571903229, 1.064326286315918, -0.8897475600242615];[0.9898934960365295, -0.14181271195411682, 0.995273768901825, 0.09710857272148132, 1.4503612518310547, -1.4125524759292603];1
[0.9898934960365295, -0.14181271195411682, 0.995273768901825, 0.09710857272148132, 1.4503612518310547, -1.4125524759292603];[0.9862238168716431, 0.16541652381420135, 0.9752211570739746, -0.22123222053050995, 1.5598456859588623, -1.6761040687561035];0
[0.9862238168716431, 0.16541652381420135, 0.9752211570739746, -0.22123222053050995, 1.5598456859588623, -1.6761040687561035];[0.9053038954734802, 0.4247644245624542, 0.8804335594177246, -0.4741695821285248, 1.1073380708694458, -0.9566234946250916];1
[0.9053038954734802, 0.4247644245624542, 0.8804335594177246, -0.4741695821285248, 1.1073380708694458, -0.9566234946250916];[0.8230814337730408, 0.567923367023468, 0.8144290447235107, -0.5802631974220276, 0.5158960223197937, -0.26750633120536804];0
[0.8230814337730408, 0.567923367023468, 0.8144290447235107, -0.5802631974220276, 0.5158960223197937, -0.26750633120536804];[0.8178263902664185, 0.5754650831222534, 0.8617018461227417, -0.5074149966239929, -0.4255039691925049, 1.127793550491333];2
[0.8178263902664185, 0.5754650831222534, 0.8617018461227417, -0.5074149966239929, -0.4255039691925049, 1.127793550491333];[0.9049010276794434, 0.4256220757961273, 0.984024167060852, -0.17803502082824707, -1.272499918937683, 2.3392581939697266];2
[0.9049010276794434, 0.4256220757961273, 0.984024167060852, -0.17803502082824707, -1.272499918937683, 2.3392581939697266];[0.9915837049484253, 0.1294674128293991, 0.9372875094413757, 0.3485572338104248, -1.7410893440246582, 2.848536252975464];2
[0.9915837049484253, 0.1294674128293991, 0.9372875094413757, 0.3485572338104248, -1.7410893440246582, 2.848536252975464];[0.978522777557373, -0.20613883435726166, 0.6535817980766296, 0.7568559050559998, -1.5613654851913452, 2.0564663410186768];1
[0.978522777557373, -0.20613883435726166, 0.6535817980766296, 0.7568559050559998, -1.5613654851913452, 2.0564663410186768];[0.8958145380020142, -0.44442814588546753, 0.43538129329681396, 0.9002461433410645, -0.9258209466934204, 0.5331488847732544];0
[0.8958145380020142, -0.44442814588546753, 0.43538129329681396, 0.9002461433410645, -0.9258209466934204, 0.5331488847732544];[0.8394769430160522, -0.5433953404426575, 0.4586128294467926, 0.8886361718177795, -0.1889607310295105, -0.7983278632164001];1
[0.8394769430160522, -0.5433953404426575, 0.4586128294467926, 0.8886361718177795, -0.1889607310295105, -0.7983278632164001];[0.8626485466957092, -0.5058038234710693, 0.6955822706222534, 0.7184464335441589, 0.6296496391296387, -2.1146321296691895];1
[0.8626485466957092, -0.5058038234710693, 0.6955822706222534, 0.7184464335441589, 0.6296496391296387, -2.1146321296691895];[0.9498395919799805, -0.3127375841140747, 0.973137617111206, 0.2302241325378418, 1.4426119327545166, -3.4816324710845947];0
[0.9498395919799805, -0.3127375841140747, 0.973137617111206, 0.2302241325378418, 1.4426119327545166, -3.4816324710845947];[0.9999596476554871, 0.008981585502624512, 0.8701652884483337, -0.4927600026130676, 1.7137037515640259, -3.7603702545166016];0
[0.9999596476554871, 0.008981585502624512, 0.8701652884483337, -0.4927600026130676, 1.7137037515640259, -3.7603702545166016];[0.9539540410041809, 0.299952894449234, 0.424721360206604, -0.9053241014480591, 1.1975598335266113, -2.334996223449707];2
[0.9539540410041809, 0.299952894449234, 0.424721360206604, -0.9053241014480591, 1.1975598335266113, -2.334996223449707];[0.8877710700035095, 0.4602852165699005, 0.12912164628505707, -0.9916287660598755, 0.5237813591957092, -0.7551366686820984];2
[0.8877710700035095, 0.4602852165699005, 0.12912164628505707, -0.9916287660598755, 0.5237813591957092, -0.7551366686820984];[0.8640037178993225, 0.503485381603241, 0.08561056107282639, -0.9963286519050598, -0.03887362405657768, 0.3204984962940216];0
[0.8640037178993225, 0.503485381603241, 0.08561056107282639, -0.9963286519050598, -0.03887362405657768, 0.3204984962940216];[0.9035094976425171, 0.428568035364151, 0.3054293394088745, -0.9522147178649902, -0.8073321580886841, 1.932881474494934];2
[0.9035094976425171, 0.428568035364151, 0.3054293394088745, -0.9522147178649902, -0.8073321580886841, 1.932881474494934];[0.9761284589767456, 0.21719390153884888, 0.738028883934021, -0.6747691035270691, -1.403542399406433, 3.2253546714782715];1
[0.9761284589767456, 0.21719390153884888, 0.738028883934021, -0.6747691035270691, -1.403542399406433, 3.2253546714782715];[0.995537281036377, -0.09436912089586258, 0.9999076128005981, -0.013591003604233265, -1.63284170627594, 3.849039316177368];1
[0.995537281036377, -0.09436912089586258, 0.9999076128005981, -0.013591003604233265, -1.63284170627594, 3.849039316177368];[0.9264457821846008, -0.3764282763004303, 0.7644893527030945, 0.6446363925933838, -1.1892273426055908, 3.1081390380859375];1
[0.9264457821846008, -0.3764282763004303, 0.7644893527030945, 0.6446363925933838, -1.1892273426055908, 3.1081390380859375];[0.8477598428726196, -0.5303803086280823, 0.344844788312912, 0.9386597275733948, -0.5147458910942078, 2.0275919437408447];2
